TeamName,Season,GP,WINS,LOSSES,WinPCT,FG3A_per_game,FG3M_per_game,FG3_PCT,FG3A_total,FG3M_total
Detroit Pistons,2002,82,50,32,0.61,1509,567,0.376,123738,46494
Detroit Pistons,2003,82,50,32,0.61,1488,533,0.358,122016,43706
Detroit Pistons,2004,82,54,28,0.659,968,333,0.344,79376,27306
Detroit Pistons,2005,82,54,28,0.659,1053,363,0.345,86346,29766
Detroit Pistons,2006,82,64,18,0.78,1451,557,0.384,118982,45674
Detroit Pistons,2007,82,53,29,0.646,1305,449,0.344,107010,36818
Detroit Pistons,2008,82,59,23,0.72,1330,487,0.366,109060,39934
Detroit Pistons,2009,82,39,43,0.476,1079,377,0.349,88478,30914
Detroit Pistons,2010,82,27,55,0.329,1190,374,0.314,97580,30668
Detroit Pistons,2011,82,30,52,0.366,1256,472,0.376,102992,38704
Detroit Pistons,2012,66,25,41,0.379,916,317,0.346,60456,20922
Detroit Pistons,2013,82,29,53,0.354,1440,513,0.356,118080,42066
Detroit Pistons,2014,82,29,53,0.354,1580,507,0.321,129560,41574
Detroit Pistons,2015,82,32,50,0.39,2043,703,0.344,167526,57646
Detroit Pistons,2016,82,44,38,0.537,2148,740,0.345,176136,60680
Detroit Pistons,2017,82,37,45,0.451,1915,631,0.33,157030,51742
Detroit Pistons,2018,82,39,43,0.476,2373,886,0.373,194586,72652
Detroit Pistons,2019,82,41,41,0.5,2854,993,0.348,234028,81426
Detroit Pistons,2020,66,20,46,0.303,2157,791,0.367,142362,52206
Detroit Pistons,2021,72,20,52,0.278,2370,832,0.351,170640,59904
Detroit Pistons,2022,82,23,59,0.28,2838,925,0.326,232716,75850
Detroit Pistons,2023,82,17,65,0.207,2659,934,0.351,218038,76588
Detroit Pistons,2024,82,14,68,0.171,2602,906,0.348,213364,74292
Charlotte Hornets,2000,82,49,33,0.598,1001,339,0.339,82082,27798
Charlotte Hornets,2001,82,46,36,0.561,984,340,0.346,80688,27880
Charlotte Hornets,2002,82,44,38,0.537,994,346,0.348,81508,28372
Charlotte Hornets,2005,82,18,64,0.22,881,320,0.363,72242,26240
Charlotte Hornets,2006,82,26,56,0.317,1261,428,0.339,103402,35096
Charlotte Hornets,2007,82,33,49,0.402,1280,457,0.357,104960,37474
Charlotte Hornets,2008,82,32,50,0.39,1443,529,0.367,118326,43378
Charlotte Hornets,2009,82,35,47,0.427,1339,490,0.366,109798,40180
Charlotte Hornets,2010,82,44,38,0.537,1331,460,0.346,109142,37720
Charlotte Hornets,2011,82,34,48,0.415,1203,393,0.327,98646,32226
Charlotte Hornets,2012,66,7,59,0.106,892,263,0.295,58872,17358
Charlotte Hornets,2013,82,21,61,0.256,1399,469,0.335,114718,38458
Charlotte Hornets,2014,82,43,39,0.524,1471,516,0.351,120622,42312
Charlotte Hornets,2015,82,33,49,0.402,1566,498,0.318,128412,40836
Charlotte Hornets,2016,82,48,34,0.585,2410,873,0.362,197620,71586
Charlotte Hornets,2017,82,36,46,0.439,2347,824,0.351,192454,67568
Charlotte Hornets,2018,82,36,46,0.439,2233,824,0.369,183106,67568
Charlotte Hornets,2019,82,39,43,0.476,2783,977,0.351,228206,80114
Charlotte Hornets,2020,65,23,42,0.354,2231,785,0.352,145015,51025
Charlotte Hornets,2021,72,33,39,0.458,2666,985,0.369,191952,70920
Charlotte Hornets,2022,82,43,39,0.524,3130,1143,0.365,256660,93726
Charlotte Hornets,2023,82,27,55,0.329,2669,881,0.33,218858,72242
Charlotte Hornets,2024,82,21,61,0.256,2788,989,0.355,228616,81098
